name,style,ingredients,cook_time,difficulty,suitable_time,suitable_weather,suitable_season,source_recipe_id,source_url,source_category,source_main_taste,source_main_season,source_review_count,source_avg_rating,source_scrap_count
박막례 간장비빔국수 맛의 재발견,한식,"소면,애호박,당근,간장,설탕,식초,마늘,참기름,통깨,물",10,쉬움,"아침,점심,야식","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6912388,https://www.10000recipe.com/recipe/6912388,면/만두,,,355,,
"닭볶음탕 (닭도리탕)!! 따라하면 성공하는, 마이쏭레시피~!!",한식,"닭닭도리탕용,양파,대파,청양고추,감자큰거,고추장듬뿍,고춧가루,간장,마늘,소주,설탕,물엿,후추,참기름마지막에",30,보통,"점심,저녁","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6846028,https://www.10000recipe.com/recipe/6846028,국/탕,,,340,,
목살간장볶음 갈비처럼 야들야들,한식,"목살,간장,올리고당,설탕,후추,마늘,참기름,깨,양파,브로콜리,대파",60,쉬움,저녁,"맑음,비,눈,더위,추위","봄,여름,가을,겨울",6852493,https://www.10000recipe.com/recipe/6852493,메인반찬,,,334,,
집밥백선생 백종원의 참치김치볶음밥 황금레시피!!,한식,"밥,묵은지,참치,대파,계란후라이,간마늘,고춧가루,설탕,간장,식용유",15,쉬움,"아침,점심,야식","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6888583,https://www.10000recipe.com/recipe/6888583,밥/죽/떡,,,334,,
[간단 자취요리] 손님 초대용! 저렴하지만 멋지게 한 상 차려보자! / 서가앤쿡 목살 스테이크 만들기,양식,"목살,계란,버터,맛술,설탕,물",60,쉬움,저녁,"맑음,비,눈,더위,추위","봄,여름,가을,겨울",6861235,https://www.10000recipe.com/recipe/6861235,메인반찬,,,333,,
시간이 요리해주는 감자탕!,한식,"감자탕용돼지등뼈,감자작은거,데친얼갈이배추,깻잎,월개수잎,소주,양파,파,사과,마늘,생강,청양고추,고춧가루,멸치액젓,간장,들깨가루,미림,고추장,된장",120,쉬움,저녁,"맑음,비,눈,더위,추위","봄,여름,가을,겨울",6898488,https://www.10000recipe.com/recipe/6898488,국/탕,,,330,,
【반전의맛】스팸 양배추 덮밥 만들기~,한식,"양배추,양파,대파,스팸,땡초,마늘,간장,참기름,설탕,후추,물",10,쉬움,"아침,점심,야식","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6869017,https://www.10000recipe.com/recipe/6869017,밥/죽/떡,,,329,,
닭봉간장조림~ 십년째 만들어 먹는 양념 공유해요!,한식,"닭봉,우유,대파,소주,간장,설탕,식초,청주,케첩,물엿",60,쉬움,저녁,"맑음,비,눈,더위,추위","봄,여름,가을,겨울",6940325,https://www.10000recipe.com/recipe/6940325,메인반찬,,,326,,
간단하지만 깔끔하고 매콤한 콩나물국 황금레시피,한식,"콩나물,다시마,대파,청양고추,마늘,물,소금,조리용나이프,대접",15,쉬움,"아침,점심,야식","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6877595,https://www.10000recipe.com/recipe/6877595,국/탕,,,321,,
버섯으로 관자 느낌 내는 방법! 새송이버섯간장버터구이 만들기,한식,"새송이버섯,버터,어린잎채소,간장,맛술,올리고당",15,쉬움,"아침,점심,야식","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6912734,https://www.10000recipe.com/recipe/6912734,,,,315,5.0,
차돌박이 된장찌개 레시피ㅣ고깃집에서 먹던 바로 그 맛!ㅣ,한식,"차돌박이,두부,애호박,양파,대파,청양고추,팽이버섯,된장,고추장,간장,고춧가루,마늘,해물다시팩",30,보통,"점심,저녁","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6922749,https://www.10000recipe.com/recipe/6922749,찌개,,,315,,
완전쉬운 양념치킨 소스만들기+치킨너겟,한식,"치킨너겟,물엿올리고당T,케첩,고추장,간장,마늘,고춧가루,설탕,물",15,쉬움,"아침,점심,야식","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6865791,https://www.10000recipe.com/recipe/6865791,메인반찬,,,314,,
업그레이드 삼겹살덮밥,한식,"삼겹살,양파,양배추,통,계란,간장,물엿,마늘,후추,소금",15,쉬움,"아침,점심,야식","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6899874,https://www.10000recipe.com/recipe/6899874,밥/죽/떡,,,313,,
액젓으로 감칠맛이 업업! 초간단 계란국 / 달걀국,한식,"계란,물,대파,소금,액젓,다시마cmxcm,멸치",30,쉬움,"점심,저녁","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6866483,https://www.10000recipe.com/recipe/6866483,국/탕,,,309,,
백종원 꽁치김치찌개 끓이는 법,한식,"꽁치통조림,김치,포기,양파,대파,물통조림캔으로계량,고춧가루,된장,마늘,설탕,참기름",90,쉬움,저녁,"맑음,비,눈,더위,추위","봄,여름,가을,겨울",6904987,https://www.10000recipe.com/recipe/6904987,찌개,,,305,,
치킨너겟으로 간편하게 간장치킨 만들기,한식,"치킨너겟,견과류아몬드or땅콩,생략가능,간장,설탕,올리고당,마늘,매실액,맛술,물",15,쉬움,"아침,점심,야식","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6868389,https://www.10000recipe.com/recipe/6868389,메인반찬,,,301,,
간장비빔국수,한식,"소면원크기개,간장,설탕,고춧가루,숟갈,참기름,소금,볶은깨",5,쉬움,"아침,점심,야식","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6887430,https://www.10000recipe.com/recipe/6887430,면/만두,,,295,,
참치 비빔밥,한식,"참치캔g,고추장,고춧가루,간장,설탕,올리고당,참기름,밥,상추,김,계란",5,쉬움,"아침,점심,야식","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6898328,https://www.10000recipe.com/recipe/6898328,밥/죽/떡,,,292,,
스팸 돈부리덮밥!반찬이 필요없는 초간단 한그릇 요리,한식,"스팸,양파,계란,대파,간장,설탕,물",120,쉬움,저녁,"맑음,더위",여름,6897383,https://www.10000recipe.com/recipe/6897383,밥/죽/떡,짭짤함,여름,289,,
우유달걀카레 - 아침식사 거르지마세요. 초간단 15분요리,한식,"카레가루,우유,계란,양파,통조림햄제일작은거,통",15,쉬움,"아침,점심,야식","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6902125,https://www.10000recipe.com/recipe/6902125,밥/죽/떡,,,287,,
여름별미음식~새콤달콤 열무비빔국수 만들기,한식,"열무김치,소면원동전,오이,계란,설탕,고춧가루,식초,참기름,매실액,올리고당,마늘,열무김치국물,고추장,통깨",30,쉬움,"점심,저녁","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6850352,https://www.10000recipe.com/recipe/6850352,면/만두,,,281,,
(집에서 즐기는 술안주) 고추잡채 - 홈파티 / 손님접대 요리,한식,"잡채용돼지고기,노란파프리카,빨강파프리카,양파,표고버섯,꽃빵,청양고추,맛술,마늘,설탕,간장,후춧가루,고추기름,올리고당",60,쉬움,저녁,"맑음,비,눈,더위,추위","봄,여름,가을,겨울",6886754,https://www.10000recipe.com/recipe/6886754,메인반찬,,,276,,
일본풍 가지덮밥,한식,"가지약cm,간장,설탕,청주,미림,물",15,쉬움,"아침,점심,야식","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6828931,https://www.10000recipe.com/recipe/6828931,밥/죽/떡,,,270,,
굴배추국 - 굴짬뽕 같은 느낌 시원한 굴국 #11월 제철음식,중식,"굴,배추,양파작은사이즈,당근,대파,청양고추,참기름,식용유,물,소금,마늘,미림,참치액,후춧가루",60,쉬움,저녁,"맑음,비,눈,더위,추위","봄,여름,가을,겨울",6861397,https://www.10000recipe.com/recipe/6861397,국/탕,,,270,,
혼밥족들을 위해 맛+영양+든든함까지 한그릇에 담은 달걀밥★,한식,"밥,공기,계란,물,햄or스팸g,다진대파,피자치즈,슬라이스치즈,간장,소금,후추",10,쉬움,"아침,점심,야식","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6860486,https://www.10000recipe.com/recipe/6860486,밥/죽/떡,,,269,,
계란 새우볶음밥 만들기 굴소스로 쉽게 만들어요 ^^,한식,"밥,양파,대파,당근,계란,소금,참기름,후춧가루,통깨,냉동새우살",15,쉬움,"아침,점심,야식","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6891445,https://www.10000recipe.com/recipe/6891445,밥/죽/떡,,,269,,
